trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,trip_duration,calculated_total_amount,speed,is_top_pickup,is_top_dropoff,is_popular_route,is_peak_month,is_peak_day,is_peak_hour
7.57,1,0,1,29.0,0.0,0.5,2.5,0.0,32.3,0.38416666666666666,27.88,19.704989154013017,0,1,0,0,1,1
14.28,1,0,0,43.0,0.0,0.5,0.0,0.0,43.8,0.6083333333333333,34.56,23.473972602739728,0,0,0,1,1,1
8.4,1,0,1,25.5,0.0,0.5,3.5,0.0,29.8,0.6425,50.78,13.073929961089496,0,1,0,0,0,1
5.82,1,0,1,21.5,0.0,0.5,2.23,0.0,24.53,0.7308333333333333,61.95,7.96351197263398,0,0,0,0,0,0
5.25,1,0,1,24.5,1.0,0.5,5.26,0.0,31.56,0.3983333333333333,57.06,13.179916317991632,1,0,0,0,0,0
0.2,1,0,1,3.0,0.5,0.5,1.05,0.0,5.35,0.7083333333333334,26.3,0.2823529411764706,0,0,0,0,0,0
9.84,1,0,1,30.5,1.0,0.5,6.0,5.76,44.06,0.7977777777777778,38.8,12.33426183844011,1,0,0,1,0,0
13.5,1,0,1,39.5,0.0,0.5,9.2,5.76,55.26,0.39694444444444443,28.99,34.00979706088174,0,1,0,0,0,1
12.0,1,0,0,37.0,0.5,0.5,0.0,0.0,38.3,1.1675,49.55,10.278372591006423,1,0,0,0,1,1
16.19,3,0,1,67.5,0.0,0.0,20.0,12.5,100.3,0.30944444444444447,48.35,52.319569120287255,0,1,0,0,1,1
8.3,1,0,1,25.5,1.0,0.5,6.0,5.76,39.06,0.6525,34.75,12.720306513409964,1,0,0,0,0,0
0.1,1,0,1,2.5,0.0,0.5,0.95,0.0,4.25,0.36138888888888887,29.1,0.2767102229054574,0,0,0,0,0,1
0.01,1,0,0,2.5,0.5,0.5,0.0,0.0,3.8,0.8419444444444445,36.56999999999999,0.011877268228307489,0,0,0,0,0,1
6.5,1,0,1,23.5,0.0,0.5,2.5,0.0,26.8,0.5563888888888889,27.96,11.682476285571642,0,0,0,1,1,1
12.4,1,0,1,37.0,0.5,0.5,9.55,0.0,47.85,0.7238888888888889,39.96,17.129700690713737,1,0,0,1,0,1
8.86,1,0,0,30.0,1.0,0.5,0.0,5.76,37.56,0.5602777777777778,26.76,15.813584531482398,1,1,1,0,0,0
4.9,1,0,1,23.0,0.5,0.5,6.05,0.0,30.35,0.9308333333333333,59.15,5.264100268576545,0,0,0,1,1,1
6.08,1,0,1,27.0,1.0,0.5,8.64,0.0,37.44,0.39944444444444444,28.55,15.221140472878998,0,1,0,1,0,0
3.86,1,0,0,22.0,1.0,0.5,0.0,0.0,23.8,0.7875,33.349999999999994,4.901587301587302,1,1,0,0,0,0
4.86,1,0,1,21.5,0.0,0.5,4.46,0.0,26.76,0.7977777777777778,38.46999999999999,6.091922005571031,0,0,0,0,0,0
9.98,1,0,0,33.5,0.5,0.5,0.0,0.0,34.8,0.9877777777777778,29.06,10.103487064116987,0,0,0,0,0,1
17.22,1,0,1,51.5,0.0,0.5,0.0,2.64,54.94,0.4061111111111111,105.7,42.40218878248974,0,0,0,0,0,1
4.7,1,0,1,22.5,0.0,0.5,3.5,0.0,26.8,0.45555555555555555,42.06999999999999,10.317073170731708,1,0,0,1,0,1
6.51,1,0,1,22.5,0.5,0.5,4.76,0.0,28.56,0.7825,88.3,8.319488817891374,0,0,0,1,1,0
10.6,1,0,1,38.5,0.5,0.5,7.95,0.0,47.75,0.3622222222222222,25.8,29.263803680981596,0,0,0,1,1,1
5.7,1,0,1,26.0,0.0,0.5,5.35,0.0,32.15,0.6741666666666667,42.67,8.454882571075402,0,1,0,0,1,0
4.1,1,0,1,25.5,1.0,0.5,5.46,0.0,32.76,0.5741666666666667,49.87,7.140783744557329,1,0,0,0,0,0
10.0,1,0,1,31.0,0.0,0.5,7.5,5.76,45.06,1.1647222222222222,44.16,8.585738134986883,1,1,1,1,0,1
8.2,1,0,0,25.5,0.5,0.5,0.0,5.76,32.56,0.3813888888888889,24.8,21.500364166059722,1,1,0,1,1,1
9.4,1,0,1,30.5,0.5,0.5,6.0,0.0,37.8,0.01638888888888889,39.36,573.5593220338983,0,0,0,0,1,1
0.28,1,0,0,3.0,0.0,0.5,0.0,0.0,3.8,0.38083333333333336,40.87,0.7352297592997812,1,1,0,0,1,1
21.85,1,0,1,60.0,0.0,0.5,13.31,5.76,79.87,0.4533333333333333,30.35,48.19852941176471,0,0,0,1,1,0
3.44,5,0,1,66.0,0.0,0.5,15.86,12.5,95.16,0.26222222222222225,40.56,13.118644067796609,0,1,0,1,1,1
24.18,1,0,1,66.0,0.0,0.5,0.0,5.76,72.56,0.5352777777777777,28.02,45.17280747275558,1,0,0,0,1,1
5.37,1,0,1,23.0,0.0,0.5,5.95,0.0,29.75,0.7236111111111111,50.46999999999999,7.421113243761996,1,1,0,1,1,1
14.0,5,0,1,40.0,0.0,0.0,15.0,0.0,55.3,0.5477777777777778,31.56,25.557809330628803,1,0,0,1,0,0
10.2,1,0,1,38.0,0.0,0.5,11.1,5.76,55.66,0.4688888888888889,27.94,21.753554502369667,0,1,0,0,0,0
12.1,1,0,1,42.5,0.0,0.5,9.8,5.76,58.86,0.6836111111111111,43.60999999999999,17.70012190166599,1,0,0,1,1,1
4.5,1,0,1,24.0,0.0,0.5,4.96,0.0,29.76,0.3725,46.85999999999999,12.080536912751677,1,0,0,0,0,1
7.93,1,0,1,26.0,0.0,0.5,5.36,0.0,32.16,0.7983333333333333,35.15,9.933194154488517,0,0,0,1,1,1
3.55,1,0,1,24.5,0.0,0.5,5.06,0.0,30.36,0.25472222222222224,45.06999999999999,13.936750272628133,0,0,0,0,0,0
5.78,1,0,1,25.5,1.0,0.5,5.46,0.0,32.76,0.5711111111111111,30.58,10.120622568093385,0,0,0,1,0,0
9.3,1,0,1,27.0,0.5,0.5,5.11,5.76,39.17,0.6625,29.15,14.037735849056606,1,0,0,1,1,1
15.5,1,0,1,45.0,0.5,0.5,10.0,0.0,56.3,0.4572222222222222,41.95,33.900364520048605,0,0,0,1,1,0
5.02,1,0,1,22.0,0.5,0.5,1.88,0.0,25.18,0.7719444444444444,4.8,6.503058654192155,1,0,0,1,0,0
7.6,1,0,0,23.5,0.5,0.5,0.0,5.76,30.56,0.5669444444444445,22.3,13.405193532582066,1,1,0,0,0,0
9.7,1,0,1,29.5,0.5,0.5,7.3,5.76,43.86,0.615,36.3,15.772357723577235,1,0,0,1,0,1
3.45,1,0,1,23.5,0.0,0.5,2.02,0.0,26.32,0.4052777777777778,31.8,8.512679917751885,0,0,0,1,0,1
10.3,1,0,1,29.5,0.5,0.5,9.1,5.76,45.66,0.5652777777777778,32.25,18.221130221130224,1,0,0,0,0,1
10.11,1,0,1,39.0,1.0,0.5,8.16,0.0,48.96,0.6,46.27,16.85,0,0,0,1,1,0
7.14,1,0,1,21.5,0.0,0.5,5.61,5.76,33.67,0.4872222222222222,39.66,14.654503990877993,1,0,0,0,1,1
0.05,1,0,0,2.5,0.0,0.5,0.0,0.0,3.3,0.9069444444444444,51.35,0.0551301684532925,0,0,0,0,1,1
6.92,1,0,1,23.5,0.5,0.5,6.2,0.0,31.0,0.6133333333333333,42.95,11.282608695652174,0,0,0,1,0,0
12.0,1,0,1,42.5,0.0,0.5,6.49,0.0,49.79,0.46305555555555555,27.95,25.91481703659268,0,0,0,0,1,0
9.0,1,0,1,26.5,0.0,0.5,6.6,5.76,39.66,0.3472222222222222,56.06,25.92,0,1,0,1,1,0
11.32,1,0,1,40.5,1.0,0.5,9.61,5.76,57.67,0.45666666666666667,51.67,24.78832116788321,1,0,1,1,0,0
5.32,1,0,1,22.0,0.0,0.5,4.56,0.0,27.36,0.6169444444444444,68.98,8.623142728500676,0,1,0,1,0,0
4.28,1,0,1,21.5,0.0,0.5,5.58,0.0,27.88,0.3438888888888889,76.39999999999999,12.445880452342488,0,0,0,0,1,0
10.9,1,0,1,30.5,0.5,0.5,4.0,0.0,35.8,0.32805555555555554,27.35,33.226079593564776,1,0,0,0,0,0
8.6,1,0,1,26.0,0.5,0.5,6.6,5.76,39.66,0.6413888888888889,66.67,13.408401905586834,1,0,0,0,1,0
9.14,1,0,0,29.0,0.0,0.5,0.0,5.76,35.56,0.36194444444444446,25.8,25.252494244052187,0,0,0,1,1,0
4.43,1,0,1,27.5,1.0,0.5,4.4,0.0,35.65,0.4897222222222222,29.76,9.045944412932501,0,1,0,0,0,0
7.69,1,0,1,23.5,0.0,0.5,4.0,0.0,28.3,1.0038888888888888,47.06,7.66021029330382,0,1,0,1,1,0
9.1,1,0,1,26.0,0.5,0.5,6.6,5.76,39.66,0.62,35.16,14.67741935483871,0,1,0,0,1,0
11.7,1,0,1,35.0,0.0,0.5,10.35,5.76,51.91,0.8111111111111111,35.76,14.424657534246574,0,1,0,0,0,1
4.44,1,0,1,22.0,1.0,0.5,4.76,0.0,28.56,0.4697222222222222,34.68,9.452395032525134,0,0,0,0,0,0
5.26,5,0,1,22.5,0.5,0.5,0.05,10.5,34.35,0.43527777777777776,39.3,12.08423739629866,0,1,0,0,1,1
8.4,1,0,1,27.5,0.5,0.5,6.9,5.76,41.46,0.6744444444444444,25.8,12.454695222405274,1,1,0,1,1,1
7.82,1,0,1,26.5,0.0,0.5,2.5,0.0,29.8,0.4802777777777778,29.76,16.282244071717756,1,0,0,1,1,1
5.6,1,0,1,21.5,0.5,0.5,0.0,0.0,22.8,0.5422222222222223,51.8,10.327868852459014,0,0,0,1,0,1
0.14,1,0,1,3.0,1.0,0.5,0.96,0.0,5.76,1.0683333333333336,45.8,0.13104524180967236,0,0,0,1,0,0
6.6,1,0,1,26.0,0.0,0.5,6.7,0.0,33.5,0.36,40.27,18.333333333333332,1,0,0,1,1,1
6.9,1,0,1,22.5,0.5,0.5,7.1,0.0,30.9,0.7077777777777777,65.46,9.748822605965465,1,0,0,0,0,1
16.18,1,0,1,52.5,1.0,0.5,10.86,0.0,65.16,0.7466666666666667,67.3,21.669642857142854,1,0,0,1,1,0
15.3,1,0,0,46.5,0.0,0.5,0.0,0.0,47.3,0.36916666666666664,58.87,41.444695259593686,1,0,0,0,0,1
0.3,1,0,1,3.0,0.5,0.5,0.64,0.0,4.94,0.41944444444444445,38.8,0.7152317880794702,0,0,0,1,0,1
17.4,1,0,1,49.0,0.0,0.5,9.95,0.0,59.75,0.7441666666666666,29.16,23.381858902575587,1,0,0,1,1,1
10.3,1,0,1,38.0,0.0,0.5,7.75,0.0,46.55,0.46,67.67999999999999,22.391304347826086,0,1,0,0,1,1
3.78,1,0,1,22.5,0.0,0.5,5.82,0.0,29.12,0.3675,62.16,10.285714285714285,0,1,0,0,0,0
14.69,1,0,0,40.5,0.5,0.5,0.0,0.0,41.8,0.4577777777777778,24.3,32.08980582524271,0,0,0,1,1,0
5.64,1,0,1,22.0,0.0,0.5,4.56,0.0,27.36,0.01138888888888889,37.56,495.2195121951219,0,0,0,1,1,1
14.04,1,0,1,42.5,0.5,0.5,10.95,0.0,54.75,0.3055555555555556,32.75,45.949090909090906,1,0,0,1,1,1
7.64,1,0,1,26.5,1.0,0.5,3.55,0.0,31.85,0.5963888888888889,44.8,12.8104331625524,0,0,0,0,0,0
8.94,1,0,1,28.5,0.5,0.5,5.96,0.0,35.76,0.4841666666666667,35.16,18.46471600688468,1,0,0,0,0,1
6.28,1,0,1,27.0,1.0,0.5,5.76,0.0,34.56,0.5791666666666667,27.8,10.843165467625898,1,0,0,0,0,0
11.01,1,0,1,35.0,1.0,0.5,10.64,5.76,53.2,0.5591666666666667,33.3,19.690014903129654,1,0,0,1,0,0
6.1,1,0,1,23.5,0.0,0.5,7.25,0.0,31.55,0.38055555555555554,51.06999999999999,16.029197080291972,1,0,0,1,1,0
17.7,3,0,1,66.0,0.0,0.0,15.75,12.5,94.55,0.4886111111111111,23.8,36.225127913587265,1,1,0,1,0,1
12.7,1,0,1,39.5,0.0,0.5,9.2,5.76,55.26,0.7777777777777778,53.76,16.328571428571426,1,0,0,0,0,1
7.49,1,0,1,25.5,0.5,0.5,8.04,0.0,34.84,0.31444444444444447,34.12,23.819787985865723,0,0,0,0,0,0
7.5,1,0,1,21.5,0.5,0.5,5.7,5.76,34.26,0.7213888888888889,30.35,10.396611474778592,0,1,0,0,0,1
7.07,1,0,1,22.0,0.5,0.5,4.66,0.0,27.96,0.5019444444444444,26.22,14.085224128389598,1,0,0,1,0,1
7.47,1,0,0,22.5,0.5,0.5,0.0,0.0,23.8,0.4077777777777778,43.16,18.318801089918257,0,0,0,1,0,1
6.8,1,0,1,22.5,0.5,0.5,3.57,0.0,27.37,0.6286111111111111,49.3,10.817498895271763,0,0,0,1,0,1
26.25,1,0,1,70.5,1.0,0.5,14.46,0.0,86.76,1.236388888888889,26.75,21.231184003594695,1,0,0,1,0,0
10.73,1,0,1,32.0,0.5,0.5,7.81,5.76,46.87,0.36944444444444446,43.29,29.043609022556392,1,0,0,1,0,0
3.9,1,0,1,25.0,0.0,0.5,4.0,0.0,29.8,0.017222222222222226,90.9,226.45161290322577,0,0,0,0,0,1
11.45,1,0,1,37.0,0.5,0.5,7.66,0.0,45.96,0.38166666666666665,4.3,30.0,1,0,0,0,1,1
4.5,1,0,1,22.0,1.0,0.5,3.57,0.0,27.37,0.49777777777777776,36.36,9.040178571428571,0,0,0,0,0,0
8.99,1,0,1,28.0,1.0,0.5,7.11,5.76,42.67,0.4483333333333333,33.3,20.05204460966543,0,1,0,0,0,0
6.52,1,0,1,22.5,0.5,0.5,4.76,0.0,28.56,0.9111111111111111,64.45,7.156097560975609,0,0,0,0,1,0
10.27,1,0,1,37.0,0.0,0.5,7.56,0.0,45.36,0.55,38.75,18.672727272727272,1,0,0,1,0,1
9.77,1,0,1,34.5,0.0,0.5,8.21,5.76,49.27,0.7044444444444444,27.36,13.869085173501578,1,0,0,1,1,1
8.38,1,0,1,24.5,0.5,0.5,5.68,5.76,37.24,0.45055555555555554,33.56,18.59926017262639,1,1,0,1,0,1
10.41,1,0,1,31.0,1.0,0.5,8.2,0.0,41.0,0.6558333333333334,31.56,15.872935196950444,1,0,0,0,0,0
8.39,1,0,1,30.5,1.0,0.5,6.46,0.0,38.76,0.5294444444444445,32.15,15.846799580272823,0,1,0,1,0,0
7.79,1,0,1,25.0,1.0,0.5,8.04,0.0,34.84,0.8266666666666667,33.36,9.423387096774194,1,0,0,1,1,0
7.5,1,0,1,28.5,0.5,0.5,5.96,0.0,35.76,0.6880555555555555,27.96,10.900282599919258,0,0,0,1,0,1
11.11,1,0,1,33.0,0.0,0.5,10.0,5.76,49.56,0.7947222222222222,35.3,13.979727368053128,0,0,1,0,1,1
9.1,1,0,1,31.5,0.0,0.5,4.0,5.76,42.06,0.2475,35.0,36.76767676767677,1,1,1,1,0,1
9.52,1,0,1,32.5,1.0,0.5,10.02,5.76,50.08,0.7008333333333333,28.8,13.583828775267538,1,1,0,1,0,0
10.8,1,0,0,33.0,0.0,0.5,0.0,5.76,39.56,0.6325,47.8,17.07509881422925,1,1,1,1,1,1
9.42,1,0,0,28.0,0.0,0.5,0.0,5.76,34.56,0.5227777777777778,42.06999999999999,18.019128586609988,0,1,0,1,1,1
17.33,3,0,1,68.0,0.0,0.0,17.66,20.0,105.96,0.41083333333333333,55.27,42.18255578093306,1,1,0,1,0,1
14.5,1,0,1,39.5,0.0,0.5,9.21,5.76,55.27,0.4897222222222222,4.56,29.608621667612024,1,0,0,0,1,1
8.6,1,0,0,31.5,0.0,0.5,0.0,5.76,38.06,0.4477777777777778,41.8,19.205955334987593,1,0,0,1,1,0
7.08,1,0,1,25.5,0.5,0.5,0.0,0.0,26.8,0.3536111111111111,22.3,20.021995286724273,1,1,0,1,0,0
3.9,1,0,1,24.0,0.0,0.5,4.95,0.0,29.75,0.4816666666666667,34.8,8.096885813148788,0,0,0,0,0,0
8.5,1,0,1,26.5,0.0,0.5,6.6,5.76,39.66,0.3497222222222222,86.3,24.305003971405878,0,1,0,1,0,1
10.49,1,0,1,32.0,0.5,0.5,7.81,5.76,46.87,0.5322222222222223,27.35,19.709812108559497,1,0,0,1,1,0
17.7,1,0,0,61.0,0.5,0.5,0.0,0.0,62.3,1.0700000000000003,44.46,16.54205607476635,0,0,0,1,1,1
12.47,1,0,1,41.0,0.0,0.5,9.51,5.76,57.07,0.4922222222222222,44.56,25.334085778781038,1,0,0,1,1,1
9.34,1,0,1,42.5,0.0,0.5,5.94,5.76,55.0,0.5747222222222222,49.27,16.25132914451426,0,0,0,0,0,1
10.66,1,0,1,33.0,0.5,0.5,6.86,0.0,41.16,0.37972222222222224,43.55,28.073152889539134,1,0,0,1,0,1
11.32,1,0,1,38.0,0.0,0.5,11.14,5.76,55.7,0.2838888888888889,33.959999999999994,39.87475538160469,1,1,1,1,0,1
12.18,1,0,1,40.5,0.0,0.5,9.41,5.76,56.47,0.22666666666666666,66.36,53.73529411764706,1,1,1,1,0,1
11.5,1,0,1,35.0,0.5,0.5,6.0,0.0,42.3,0.43472222222222223,33.36,26.45367412140575,1,1,0,1,1,1
5.5,1,0,1,22.5,0.5,0.5,2.5,0.0,26.3,0.3844444444444444,45.06999999999999,14.306358381502891,1,0,0,1,1,0
6.39,1,0,1,22.5,0.5,0.5,4.76,0.0,28.56,0.3913888888888889,49.87,16.326472675656493,1,0,0,1,1,0
7.17,1,0,1,24.0,1.0,0.5,3.1,0.0,28.9,0.6133333333333333,131.56,11.69021739130435,1,0,0,0,0,0
7.9,1,0,1,29.0,0.0,0.5,7.1,5.76,42.66,0.5255555555555556,30.38,15.03171247357294,1,0,1,0,0,0
7.5,1,0,1,30.0,1.0,0.5,6.35,0.0,38.15,0.5808333333333333,63.96,12.91248206599713,1,0,0,1,0,0
8.1,1,0,1,23.5,0.5,0.5,6.11,5.76,36.67,0.5808333333333333,34.8,13.9454806312769,1,0,0,1,1,1
9.9,1,0,1,29.5,0.5,0.5,7.3,5.76,43.86,0.5011111111111111,56.95,19.75609756097561,1,1,1,0,1,1
8.36,1,0,1,26.5,0.0,0.5,5.46,0.0,32.76,0.5466666666666666,27.36,15.292682926829269,0,0,0,0,1,1
12.43,1,0,1,37.0,0.0,0.5,10.89,5.76,54.45,0.5486111111111112,69.36,22.657215189873416,1,0,0,0,1,1
7.8,1,0,1,27.5,0.0,0.5,5.66,0.0,33.96,0.4777777777777778,28.56,16.325581395348838,1,0,0,1,0,1
13.25,1,0,1,37.5,0.5,0.5,9.7,0.0,48.5,0.7119444444444445,32.15,18.611002731174406,0,0,0,0,0,1
11.7,1,0,0,35.0,0.5,0.5,0.0,0.0,36.3,0.46055555555555555,30.94,25.404101326899877,1,1,0,1,1,1
3.2,1,0,1,26.5,0.0,0.5,5.45,0.0,32.75,0.44083333333333335,44.29,7.258979206049149,0,1,0,1,0,0
6.54,1,0,1,23.0,0.0,0.5,4.76,0.0,28.56,0.5241666666666667,27.35,12.476947535771066,0,0,0,1,1,0
9.6,1,0,1,34.5,0.0,0.5,8.21,5.76,49.27,0.35777777777777775,48.3,26.832298136645964,1,0,0,1,1,1
9.88,1,0,1,35.0,0.0,0.5,8.31,5.76,49.87,0.43972222222222224,48.67,22.468730259001894,1,0,1,0,1,0
4.71,5,0,1,45.0,0.0,0.5,7.0,10.5,63.3,0.4230555555555556,34.87,11.133289560078792,0,1,0,1,1,1
2.68,1,0,1,21.5,0.0,0.5,5.58,0.0,27.88,0.4102777777777778,30.03,6.532159783344618,0,0,0,1,1,0
11.3,1,0,1,35.0,1.0,0.5,5.52,0.0,42.32,0.6547222222222222,27.96,17.25922783198982,0,0,0,0,0,0
8.6,1,0,1,27.0,1.0,0.5,8.64,5.76,43.2,0.3647222222222222,39.17,23.579588728103577,0,1,0,1,0,0
4.56,1,0,0,23.0,1.0,0.5,0.0,0.0,24.8,0.5613888888888889,47.46999999999999,8.122711528946065,1,0,0,1,1,0
8.2,1,0,1,25.5,0.5,0.5,4.5,0.0,31.3,0.4913888888888889,46.88,16.687394007914076,1,0,0,0,1,1
4.71,1,0,1,23.0,0.0,0.5,4.76,0.0,28.56,0.5022222222222222,29.1,9.378318584070795,0,0,0,0,0,1
8.11,1,0,1,26.0,0.5,0.5,5.46,0.0,32.76,0.5669444444444445,49.56,14.304752572268495,0,0,0,0,1,0
9.07,1,0,1,33.5,0.0,0.5,8.01,5.76,48.07,0.47444444444444445,29.75,19.117096018735364,1,0,0,0,1,1
8.48,1,0,1,24.5,0.5,0.5,6.31,5.76,37.87,23.95777777777778,30.35,0.35395603376310175,1,0,1,0,1,1
6.3,1,0,0,24.0,0.0,0.5,0.0,0.0,24.8,0.3061111111111111,29.64,20.58076225045372,0,0,0,1,0,1
6.45,1,0,1,25.0,0.5,0.5,3.94,0.0,30.24,0.8166666666666667,23.3,7.8979591836734695,1,0,0,1,0,1
9.13,1,0,0,31.5,1.0,0.5,0.0,0.0,33.3,0.49944444444444447,34.56,18.28031145717464,1,0,0,0,0,0
12.82,1,0,1,36.0,0.5,0.5,9.32,0.0,46.62,0.48388888888888887,41.46999999999999,26.493685419058554,1,1,0,1,0,0
13.96,1,0,1,46.0,0.0,0.5,0.0,0.0,46.8,0.6730555555555555,31.8,20.741229880313664,0,0,0,1,1,1
7.6,1,0,1,28.5,0.5,0.5,5.95,0.0,35.75,0.30833333333333335,46.26,24.648648648648646,0,0,0,0,0,1
8.14,1,0,0,25.5,0.5,0.5,0.0,0.0,26.8,0.4741666666666667,48.06,17.166959578207383,1,1,1,1,0,1
7.51,1,0,1,23.5,0.0,0.5,7.52,5.76,37.58,0.6572222222222223,31.0,11.426880811496195,0,0,0,1,0,1
7.2,1,0,1,21.5,0.5,0.5,4.55,0.0,27.35,0.3663888888888889,30.35,19.651250947687643,0,0,1,1,1,0
6.2,1,0,1,23.5,0.0,0.5,3.65,0.0,27.95,0.2866666666666667,71.06,21.627906976744185,0,0,0,0,0,1
9.5,1,0,1,29.0,0.0,0.5,10.65,5.76,46.21,0.7319444444444444,27.83,12.979127134724859,1,0,0,0,0,1
10.6,1,0,1,36.0,0.5,0.5,7.45,0.0,44.75,0.41444444444444445,39.66,25.576407506702413,0,0,0,1,0,0
3.61,1,0,1,22.0,0.0,0.5,4.56,0.0,27.36,0.5244444444444445,97.8,6.883474576271186,1,1,0,0,1,0
9.77,1,0,1,29.5,0.5,0.5,4.0,5.76,40.56,0.47444444444444445,27.35,20.592505854800937,0,1,0,1,1,1
9.1,1,0,1,26.0,1.0,0.5,6.7,5.76,40.26,0.38666666666666666,34.8,23.53448275862069,1,1,0,0,0,0
14.5,1,0,1,43.0,0.5,0.5,5.7,0.0,50.0,0.3030555555555556,48.81,47.84601283226397,0,0,0,1,0,1
11.0,1,0,1,31.5,0.5,0.5,7.7,5.76,46.26,0.545,54.67999999999999,20.183486238532108,0,1,0,0,0,1
5.9,1,0,1,21.5,0.5,0.5,4.55,0.0,27.35,0.45305555555555554,48.06999999999999,13.022685469037402,0,0,0,0,0,0
3.35,1,0,1,22.5,1.0,0.5,6.08,0.0,30.38,0.6894444444444444,23.8,4.858984689766318,1,0,0,0,0,0
9.2,1,0,1,26.5,1.0,0.5,6.81,5.76,40.87,0.6788888888888889,50.15,13.551554828150572,1,0,0,1,0,0
8.86,1,0,1,27.0,0.0,0.5,6.71,5.76,40.27,0.7405555555555555,41.15,11.963990997749438,0,1,0,0,0,1
11.7,1,0,1,34.0,0.0,0.5,8.11,5.76,48.67,0.5322222222222223,27.95,21.983298538622126,1,1,1,1,1,1
5.7,1,0,1,27.0,1.0,0.5,4.32,0.0,33.12,0.4361111111111111,35.56,13.070063694267516,0,0,0,1,1,0
3.69,1,0,1,21.5,1.0,0.5,4.0,0.0,27.3,0.4841666666666667,43.27,7.621342512908777,1,1,0,0,0,0
14.4,1,0,1,45.0,0.0,0.5,0.0,5.76,51.56,0.5280555555555555,34.3,27.269857969489745,1,0,0,1,0,1
12.5,1,0,1,40.0,1.0,0.5,8.36,0.0,50.16,0.3016666666666667,47.3,41.436464088397784,1,0,0,1,0,0
7.7,1,0,1,29.5,1.0,0.5,6.25,0.0,37.55,0.8061111111111111,58.81999999999999,9.552033080634045,0,1,0,1,0,0
5.86,1,0,1,33.5,0.0,0.5,10.29,0.0,44.59,0.44805555555555554,66.06,13.078735275883448,0,0,0,0,1,0
17.0,3,0,1,65.0,0.0,0.0,10.0,10.5,85.8,0.3452777777777778,48.95,49.235720032180204,0,1,0,1,0,1
6.2,1,0,0,22.0,0.5,0.5,0.0,0.0,23.3,0.7394444444444445,42.96,8.384673178061608,0,0,0,0,0,1
